model:model/t1c0.1-t2c0.01-lr0.15-decay0.95-gau3-ep10-gr10.pkl
input_data:sample_data/input.dat
output_dir:output/out1.txt
dataset length: 3000
features per example: 136
(誤差平均, 誤差分散), ニューロン使用率, 階層数, マップ数, ニューロン数
(113.1063, 43.39544),1.1905,4,18,150
header layer 0 1 2 3 (y,x)
[360001-365000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[365001-370000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[370001-375000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[375001-380000] 2 root root(0,3) None None (0,0)
[380001-385000] 4 root root root(0,0) root(0,3) (0,3)
[385001-390000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[390001-395000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[395001-400000] 2 root root(0,3) None None (1,1)
[400001-405000] 2 root root(0,3) None None (1,0)
[405001-410000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[410001-415000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[415001-420000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[420001-425000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[425001-430000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[430001-435000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[435001-440000] 3 root root root(0,0) root(0,3) (0,1)
[440001-445000] 3 root root(0,3) root(0,3)(2,0) None (0,3)
[445001-450000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[450001-455000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[455001-460000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[460001-465000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[465001-470000] 3 root root(0,3) root(0,3)(2,0) None (0,2)
[470001-475000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[475001-480000] 2 root root(0,3) None None (1,1)
[480001-485000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[485001-490000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[490001-495000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[495001-500000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[500001-505000] 3 root root(0,3) root(0,3)(2,0) None (1,1)
[505001-510000] 3 root root(0,3) root(0,3)(2,0) None (0,3)
[510001-515000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[515001-520000] 3 root root root(0,0) root(0,3) (0,2)
[520001-525000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[525001-530000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[530001-535000] 3 root root(0,3) root(0,3)(2,0) None (0,2)
[535001-540000] 3 root root(0,3) root(0,3)(2,0) None (0,2)
[540001-545000] 3 root root root(0,3) root(1,0) (0,4)
[545001-550000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[550001-555000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[555001-560000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[560001-565000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[565001-570000] 2 root root(0,3) None None (1,1)
[570001-575000] 2 root root root(0,0) root(0,3) (1,0)
[575001-580000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[580001-585000] 3 root root(0,3) root(0,3)(2,0) None (0,3)
[585001-590000] 2 root root(0,3) None None (1,1)
[590001-595000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[595001-600000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[600001-605000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[605001-610000] 2 root root(0,3) None None (1,1)
[610001-615000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[615001-620000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[620001-625000] 3 root root root(0,3) root(1,0) (1,0)
[625001-630000] 4 root root root(0,0) root(0,3) (0,3)
[630001-635000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[635001-640000] 2 root root(0,3) None None (0,0)
[640001-645000] 2 root root(0,3) None None (1,1)
[645001-650000] 2 root root(0,3) None None (1,1)
[650001-655000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[655001-660000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[660001-665000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[665001-670000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[670001-675000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[675001-680000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[680001-685000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (3,1)
[685001-690000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,0)
[690001-695000] 3 root root(0,3) root(0,3)(2,0) None (1,1)
[695001-700000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[700001-705000] 2 root root(0,3) None None (0,0)
[705001-710000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,0)
[710001-715000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[715001-720000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[720001-725000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[725001-730000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
